nameWithOwner,url,stargazerCount,createdAt,releases,primaryLanguage,age,processed
DroidPluginTeam/DroidPlugin,https://github.com/DroidPluginTeam/DroidPlugin,6710,2015-08-27T11:14:57Z,2,Java,2397,false
hongyangAndroid/AndroidAutoLayout,https://github.com/hongyangAndroid/AndroidAutoLayout,6695,2015-11-19T02:09:11Z,0,Java,2313,false
naman14/Timber,https://github.com/naman14/Timber,6668,2015-06-12T16:43:55Z,5,Java,2472,false
spring-projects/spring-security,https://github.com/spring-projects/spring-security,6652,2012-01-10T21:50:57Z,92,Java,3721,false
kunal-kushwaha/DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,6650,2021-07-30T12:23:25Z,0,Java,233,false
NLPchina/elasticsearch-sql,https://github.com/NLPchina/elasticsearch-sql,6637,2014-08-24T14:26:31Z,189,Java,2765,false
yuanguangxin/LeetCode,https://github.com/yuanguangxin/LeetCode,6634,2020-01-11T01:02:02Z,0,Java,799,false
SonarSource/sonarqube,https://github.com/SonarSource/sonarqube,6610,2011-01-05T11:05:17Z,25,Java,4092,false
Exrick/xmall,https://github.com/Exrick/xmall,6576,2017-07-28T01:49:49Z,0,Java,1696,false
yanzhenjie/AndPermission,https://github.com/yanzhenjie/AndPermission,6554,2016-09-11T05:17:34Z,0,Java,2016,false
k9mail/k-9,https://github.com/k9mail/k-9,6500,2011-02-04T02:40:00Z,126,Java,4062,false
Angel-ML/angel,https://github.com/Angel-ML/angel,6495,2017-04-25T05:57:43Z,19,Java,1790,false
wildfirechat/server,https://github.com/wildfirechat/server,6484,2019-01-23T15:21:28Z,64,Java,1152,false
lenve/VBlog,https://github.com/lenve/VBlog,6469,2017-12-26T11:01:55Z,0,Java,1545,false
gyoogle/tech-interview-for-developer,https://github.com/gyoogle/tech-interview-for-developer,6450,2019-06-09T04:42:57Z,0,Java,1015,false
flyway/flyway,https://github.com/flyway/flyway,6434,2012-12-14T18:43:22Z,134,Java,3382,false
debezium/debezium,https://github.com/debezium/debezium,6409,2016-01-22T20:17:05Z,0,Java,2248,false
gocd/gocd,https://github.com/gocd/gocd,6391,2013-12-13T05:26:16Z,70,Java,3019,false
google/closure-compiler,https://github.com/google/closure-compiler,6387,2014-04-16T15:30:36Z,0,Java,2895,false
zendesk/android-floating-action-button,https://github.com/zendesk/android-floating-action-button,6358,2014-09-19T06:49:21Z,0,Java,2739,false
Meituan-Dianping/walle,https://github.com/Meituan-Dianping/walle,6355,2017-01-10T03:39:25Z,1,Java,1895,false
apache/storm,https://github.com/apache/storm,6334,2013-11-05T08:00:14Z,0,Java,3057,false
zo0r/react-native-push-notification,https://github.com/zo0r/react-native-push-notification,6317,2015-12-14T19:53:36Z,35,Java,2287,false
TechEmpower/FrameworkBenchmarks,https://github.com/TechEmpower/FrameworkBenchmarks,6311,2013-03-22T17:33:54Z,15,Java,3284,false
GrenderG/Toasty,https://github.com/GrenderG/Toasty,6306,2017-01-18T18:52:41Z,19,Java,1886,false
koush/ion,https://github.com/koush/ion,6305,2013-05-22T07:41:23Z,0,Java,3224,false
markzhai/AndroidPerformanceMonitor,https://github.com/markzhai/AndroidPerformanceMonitor,6302,2016-01-17T05:23:22Z,0,Java,2254,false
