nameWithOwner,url,stargazerCount,createdAt,releases,primaryLanguage,age,processed,cbo,dit,lcom*,loc
bitcoin-wallet/bitcoin-wallet,https://github.com/bitcoin-wallet/bitcoin-wallet,2785,2012-03-31T17:06:47Z,18,Java,3643,true,7.536649214659686,2,Not processed.,18012
googlearchive/android-Camera2Basic,https://github.com/googlearchive/android-Camera2Basic,2781,2014-06-26T15:53:00Z,0,Java,2826,true,5.111111111111111,1,0.10251850777777777,843
JakeWharton/scalpel,https://github.com/JakeWharton/scalpel,2772,2014-01-06T17:26:01Z,0,Java,2997,true,4.833333333333333,1,0.3333238883333333,578
Tencent/MSEC,https://github.com/Tencent/MSEC,2771,2016-11-28T01:50:35Z,0,Java,1940,true,6.765789473684211,1,Not processed.,160188
RobotiumTech/robotium,https://github.com/RobotiumTech/robotium,2771,2009-12-10T12:51:14Z,0,Java,4485,true,5.305555555555555,1,Not processed.,6058
fengjundev/Android-Skin-Loader,https://github.com/fengjundev/Android-Skin-Loader,2771,2015-07-01T07:36:33Z,0,Java,2456,true,4.138297872340425,1,Not processed.,3423
sockeqwe/AdapterDelegates,https://github.com/sockeqwe/AdapterDelegates,2768,2015-07-29T11:19:56Z,18,Java,2428,true,4.15,2,0.11669594970000002,2458
tyzlmjj/PagerBottomTabStrip,https://github.com/tyzlmjj/PagerBottomTabStrip,2767,2015-08-23T02:35:28Z,12,Java,2403,true,6.184210526315789,2,Not processed.,3171
liuyangming/ByteTCC,https://github.com/liuyangming/ByteTCC,2765,2016-02-12T11:51:14Z,17,Java,2230,true,10.598591549295774,1,Not processed.,14748
airbnb/airpal,https://github.com/airbnb/airpal,2761,2014-05-05T18:51:30Z,0,Java,2878,true,6.5212121212121215,1,Not processed.,3952
Nightonke/WoWoViewPager,https://github.com/Nightonke/WoWoViewPager,2753,2016-03-03T04:29:28Z,0,Java,2210,true,5.572519083969466,1,Not processed.,8670
sofastack/sofa-jraft,https://github.com/sofastack/sofa-jraft,2752,2019-03-04T10:13:43Z,21,Java,1114,true,6.152624309392265,1,Not processed.,139270
Dimezis/BlurView,https://github.com/Dimezis/BlurView,2751,2016-04-21T16:00:07Z,22,Java,2161,true,5.142857142857143,1,0.23551587464285711,687
MindorksOpenSource/android-mvvm-architecture,https://github.com/MindorksOpenSource/android-mvvm-architecture,2750,2017-07-07T08:34:07Z,0,Java,1719,true,5.701754385964913,1,Not processed.,3077
Nightonke/CoCoin,https://github.com/Nightonke/CoCoin,2746,2015-10-17T13:50:12Z,0,Java,2348,true,4.968957871396896,1,Not processed.,22198
harjot-oberai/MusicDNA,https://github.com/harjot-oberai/MusicDNA,2745,2016-04-30T20:12:34Z,2,Java,2151,true,4.892897406989854,1,Not processed.,52240
halirutan/IntelliJ-Key-Promoter-X,https://github.com/halirutan/IntelliJ-Key-Promoter-X,2744,2017-07-28T22:09:25Z,19,Java,1697,true,5.583333333333333,2,Not processed.,930
apache/logging-log4j2,https://github.com/apache/logging-log4j2,2742,2013-06-12T07:00:19Z,0,Java,3205,true,5.39522789843989,3,Not processed.,162299
Yalantis/GuillotineMenu-Android,https://github.com/Yalantis/GuillotineMenu-Android,2739,2015-06-15T13:56:21Z,2,Java,2472,true,2.875,2,0.191398363125,407
north2016/T-MVP,https://github.com/north2016/T-MVP,2739,2016-05-09T05:55:34Z,0,Java,2143,true,4.625,1,Not processed.,3803
wenmingvs/AndroidProcess,https://github.com/wenmingvs/AndroidProcess,2737,2016-01-19T06:28:11Z,0,Java,2254,true,4.0227272727272725,1,Not processed.,1387
AbrahamCaiJin/CommonUtilLibrary,https://github.com/AbrahamCaiJin/CommonUtilLibrary,2736,2017-04-28T06:06:58Z,0,Java,1789,true,4.462585034013605,1,0.3227124880272109,16523
MagicMashRoom/SuperCalendar,https://github.com/MagicMashRoom/SuperCalendar,2736,2017-05-11T12:28:51Z,13,Java,1776,true,4.295454545454546,1,Not processed.,1914
TangoAgency/material-intro-screen,https://github.com/TangoAgency/material-intro-screen,2733,2016-09-12T13:16:19Z,4,Java,2017,true,4.670329670329671,3,Not processed.,4607
oguzbilgener/CircularFloatingActionMenu,https://github.com/oguzbilgener/CircularFloatingActionMenu,2728,2014-07-20T20:42:12Z,0,Java,2801,true,6.914285714285715,2,0.2628245297142857,1850
allure-framework/allure2,https://github.com/allure-framework/allure2,2726,2016-05-27T14:06:05Z,50,Java,2125,true,6.027888446215139,1,Not processed.,7268
pedrovgs/Algorithms,https://github.com/pedrovgs/Algorithms,2725,2014-11-09T14:32:33Z,0,Java,2690,true,2.621301775147929,1,0.06134232377514792,5982
